Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,Spice_Primitive,Spice_Model,Spice_Netlist_Enabled,Spice_Node_Sequence
1,"75V 0.15A Fast Switching Diode, SOD-123",1N4148W,D1 D3 D5 D9,1N4148W,D_SOD-123,4, ,https://www.vishay.com/docs/85748/1n4148w.pdf,D,D1N4148,Y,
2,LED 3mm low current,LED,D2,LED (Green),LED_D3.0mm,1, ,~,D,LED2,Y,
3,LED 3mm low current,LED,D4 D6 D10,LED (Red),LED_D3.0mm,3, ,~,D,LED2,Y,
4,Board to Board Connectors (2.54 mm),Conn_01x05_Male,J3,01x05 Male,PinSocket_1x05_P2.54mm_Vertical,1, ,~,,,,
5,Board to Board Connectors (2.54 mm),Conn_01x06_Male,J6,01x06 Male,PinSocket_1x06_P2.54mm_Vertical,1, ,~,,,,
6,Board to Board Connectors (2.54 mm),Conn_01x07_Male,J7,01x07 Male,PinSocket_1x07_P2.54mm_Vertical,1, ,~,,,,
7,"Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)",AudioJack2_SwitchT,J1 J2 J4 J5,AudioJack2_SwitchT,Jack_3.5mm_WQP-PJ398SM_Vertical,4, ,~,,,,
8,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23",MMBT3904,Q1 Q2 Q3 Q5,MMBT3904,SOT-23,4, ,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,Q,BC846B,Y,3 1 2 3 2 1
9,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R11 R12,330,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2, ,~,,,,
10,Thick Film Resistors - SMD (0805),R,R29 R30 R34 R40,5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4, ,~,,,,
11,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R3,36k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1, ,~,,,,
12,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R1,39k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1, ,~,,,,
13,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R8,43k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1, ,~,,,,
14,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R4,47k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1, ,~,,,,
15,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R6,51k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1, ,~,,,,
16,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R2,62k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1, ,~,,,,
17,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R7,68k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1, ,~,,,,
18,Thick Film Resistors - SMD (0805),R,R23 R28 R32 R38,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4, ,~,,,,
19,Alpha 9 mm Pots â€“ Vertical,R_POT,RV1 RV2 RV3 RV4 RV5 RV6 RV7 RV8 RV9 RV10 RV11,50k,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,11, ,~,,,,
